,Cluster1,Cluster2,Cluster3,Cluster4
91,hyp:tok:rope,hyp:tok:surf,hyp:tok:buildings,hyp:tok:group
92,hyp:tok:rack,hyp:tok:past,pre:tok:ride,hyp:tok:story
93,hyp:tok:bass,pre:tok:church,hyp:tok:selling,pre:tok:child
94,pre:tok:us,hyp:tok:outer,pre:tok:parents,pre:tok:museum
95,pre:tok:native,hyp:tok:jogging,pre:tok:set,pre:tok:than
96,pre:tok:microphone,pre:tok:below,hyp:tok:soup,pre:tok:males
97,pre:tok:night,hyp:tok:chat,hyp:tok:5,pre:tok:stringed
98,pre:tok:bicycle,pre:tok:steering,hyp:tok:cloudy,pre:tok:skyline
99,hyp:tok:space,pre:tok:jet,pre:tok:chess,hyp:tok:finished
100,hyp:tok:fish,hyp:tok:pulled,hyp:tok:whilst,pre:tok:drums
101,hyp:tok:happening,pre:tok:sound,hyp:tok:uses,pre:tok:roller
102,hyp:tok:snowshoes,pre:tok:tray,hyp:tok:pulled,hyp:tok:waterfall
103,hyp:tok:rocky,pre:tok:trail,pre:tok:sound,pre:tok:indoor
104,pre:tok:motor,hyp:tok:group,hyp:tok:pointed,hyp:tok:naked
105,hyp:tok:son,hyp:tok:this,hyp:tok:backpacks,hyp:tok:trying
106,hyp:tok:tired,pre:tok:child,pre:tok:land,pre:tok:few
107,hyp:tok:toothbrush,hyp:tok:hats,hyp:tok:uniformed,pre:tok:propeller
108,hyp:tok:may,hyp:tok:diver,hyp:tok:marathon,hyp:tok:one
109,hyp:tok:competing,hyp:tok:artwork,pre:tok:races,pre:tok:sport
110,hyp:tok:diner,pre:tok:dump,hyp:tok:half,hyp:tok:different
111,pre:tok:steel,hyp:tok:grassy,hyp:tok:drinks,hyp:tok:grassy
112,pre:tok:through,hyp:tok:year,hyp:tok:picture,pre:tok:going
113,hyp:tok:fisherman,hyp:tok:bedroom,hyp:tok:happy,hyp:tok:year
114,pre:tok:fallen,pre:tok:stars,hyp:tok:only,hyp:tok:'s
115,hyp:tok:terrain,hyp:tok:store,pre:tok:injured,hyp:tok:hang
116,hyp:tok:nothing,pre:tok:structure,hyp:tok:surrounded,hyp:tok:suspended
117,hyp:tok:wrestlers,hyp:tok:indoors,pre:tok:museum,hyp:tok:child
118,pre:tok:chairs,pre:tok:farmers,pre:tok:soap,hyp:tok:adults
119,hyp:tok:band,hyp:tok:smiling,hyp:tok:scooters,hyp:tok:least
120,pre:tok:colorful,hyp:tok:older,pre:tok:trains,hyp:tok:deer
121,pre:tok:into,hyp:tok:rolled,hyp:tok:first,hyp:tok:visiting
122,pre:tok:kids,pre:tok:open,pre:tok:get,hyp:tok:carnival
123,hyp:tok:look,hyp:tok:desks,pre:tok:surf,hyp:tok:doctors
124,pre:tok:someone,pre:tok:live,hyp:tok:boy,pre:tok:;
125,hyp:tok:well,pre:tok:fence,hyp:tok:buggy,pre:tok:one
126,hyp:tok:drinking,hyp:tok:lumberjack,hyp:tok:merchandise,pre:tok:cats
127,hyp:tok:jet,pre:tok:field,hyp:tok:naked,pre:tok:mcdonald
128,hyp:tok:surf,pre:tok:other,hyp:tok:sleep,hyp:tok:smiling
129,pre:tok:european,hyp:tok:suburban,hyp:tok:sound,hyp:tok:played
130,hyp:tok:case,hyp:tok:groups,pre:tok:concert,hyp:tok:sunny
131,hyp:tok:knitting,pre:tok:group,pre:tok:dead,pre:tok:musicians
132,hyp:tok:wood,pre:tok:hits,hyp:tok:gloves,hyp:tok:chair
133,hyp:tok:chat,hyp:tok:clean,hyp:tok:young,pre:tok:league
134,pre:tok:wife,hyp:tok:bus,pre:tok:going,hyp:tok:clown
135,hyp:tok:seven,pre:tok:blocking,hyp:tok:tractor,pre:tok:six
136,hyp:tok:church,hyp:tok:drives,pre:tok:decorative,hyp:tok:mask
137,pre:tok:father,hyp:tok:bin,hyp:tok:soccer,pre:tok:water
138,pre:tok:reads,pre:tok:skiing,hyp:tok:suspended,hyp:tok:yarn
139,hyp:tok:daughter,hyp:tok:way,pre:tok:!,pre:tok:gets
140,pre:tok:wig,hyp:tok:stage,pre:tok:clouds,pre:tok:yoga
141,hyp:tok:directing,pre:tok:its,hyp:tok:control,pre:tok:live
142,hyp:tok:enjoy,pre:tok:hose,hyp:tok:tools,hyp:tok:race
143,hyp:tok:jumping,hyp:tok:airport,hyp:tok:adults,hyp:tok:cool
144,hyp:tok:computer,hyp:tok:strike,hyp:tok:12,hyp:tok:coach
145,hyp:tok:groceries,pre:tok:shaving,pre:tok:skates,hyp:tok:stopped
146,hyp:tok:finished,hyp:tok:tutu,pre:tok:happy,pre:tok:popsicle
147,pre:tok:hammer,hyp:tok:model,pre:tok:training,hyp:tok:break
148,hyp:tok:middle,pre:tok:riding,pre:tok:thinking,hyp:tok:chinese
149,pre:tok:jogging,hyp:tok:interested,hyp:tok:boys,hyp:tok:racetrack
150,pre:tok:arm,hyp:tok:protesting,pre:tok:against,hyp:tok:wrapped
151,hyp:tok:cardboard,pre:tok:style,pre:tok:play,hyp:tok:butterfly
152,hyp:tok:plastic,pre:tok:surfboard,pre:tok:snow,hyp:tok:piano
153,hyp:tok:soccer,hyp:tok:professional,hyp:tok:pets,pre:tok:coat
154,pre:tok:thinking,hyp:tok:cream,hyp:tok:tube,pre:tok:laboratory
155,hyp:tok:indoors,pre:tok:gentleman,pre:tok:traveling,hyp:tok:addressing
156,pre:tok:giant,pre:tok:word,pre:tok:nose,pre:tok:football
157,hyp:tok:referee,pre:tok:life,pre:tok:mirror,hyp:tok:paddle
158,hyp:tok:cats,hyp:tok:gear,pre:tok:resting,hyp:tok:any
159,pre:tok:fight,hyp:tok:teen,hyp:tok:clouds,hyp:tok:japanese
160,hyp:tok:dance,hyp:tok:stay,hyp:tok:coffee,hyp:tok:bus
161,hyp:tok:looks,pre:tok:pet,hyp:tok:toward,hyp:tok:numbers
162,pre:tok:army,pre:tok:n't,hyp:tok:through,hyp:tok:chef
163,pre:tok:looking,pre:tok:near,pre:tok:league,hyp:tok:courtyard
164,pre:tok:table,hyp:tok:rollerskating,hyp:tok:teenagers,hyp:tok:sheep
165,pre:tok:crafts,hyp:tok:milk,pre:tok:pie,hyp:tok:desert
166,hyp:tok:exercising,pre:tok:ft,hyp:tok:yarn,hyp:tok:brushing
167,pre:tok:leans,hyp:tok:dish,pre:tok:off,hyp:tok:you
168,pre:tok:china,hyp:tok:hate,pre:tok:baby,pre:tok:wall
169,pre:tok:nap,hyp:tok:body,pre:tok:profile,pre:tok:vehicles
170,hyp:tok:trunks,hyp:tok:heading,hyp:tok:crane,hyp:tok:curly
171,hyp:tok:pig,hyp:tok:waitress,hyp:tok:sandwiches,pre:tok:stairs
172,hyp:tok:clean,pre:tok:makeup,pre:tok:rooftop,pre:tok:starting
173,hyp:tok:skateboarder,hyp:tok:during,pre:tok:live,pre:tok:barn
174,hyp:tok:machine,pre:tok:flipping,pre:tok:kiss,hyp:tok:daughters
175,hyp:tok:drives,hyp:tok:wife,pre:tok:army,pre:tok:basketball
176,hyp:tok:bin,hyp:tok:5,hyp:tok:accordion,pre:tok:liquid
177,hyp:tok:her,pre:tok:skinned,hyp:tok:pitcher,pre:tok:boardwalk
178,pre:tok:skiing,hyp:tok:rink,pre:tok:fly,hyp:tok:holding
179,pre:tok:images,pre:tok:alone,pre:tok:laundry,hyp:tok:bandanna
180,pre:tok:similar,pre:tok:spray,pre:tok:trunks,hyp:tok:as
181,hyp:tok:art,hyp:tok:lighting,pre:tok:peace,pre:tok:images
182,hyp:tok:airport,pre:tok:lane,hyp:tok:chasing,hyp:tok:pile
183,hyp:tok:pretending,pre:tok:walked,hyp:tok:while,hyp:tok:wet
184,hyp:tok:lunch,pre:tok:skateboard,pre:tok:married,pre:tok:vest
185,hyp:tok:dinner,hyp:tok:pictured,pre:tok:sunset,pre:tok:pier
186,pre:tok:shaving,hyp:tok:volleyball,pre:tok:carriage,hyp:tok:than
187,pre:tok:studying,hyp:tok:saw,hyp:tok:convertible,hyp:tok:event
188,hyp:tok:helmet,hyp:tok:signs,pre:tok:hits,hyp:tok:paddles
