cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
3,106,(((NOT hyp:tok:is) AND (hyp:tok:skydiving OR pre:tok:shark)) AND (NOT hyp:tok:to)),(((NOT hyp) AND (hyp OR pre)) AND (NOT hyp)),(((NOT hyp:tok) AND (hyp:tok OR pre:tok)) AND (NOT hyp:tok)),0.4,6,-0.0677499,-0.1184417,0.06976482
3,107,pre:tok:in,pre,pre:tok,0.0,1,0.010845746,0.05377577,-0.01788012
3,108,pre:tok:in,pre,pre:tok,0.0,1,0.031940717,-0.025490396,-0.050881114
3,109,(hyp:tok:singer AND hyp:tok:this),(hyp AND hyp),(hyp:tok AND hyp:tok),1.0,2,-0.026012106,-0.08252042,-0.0475954
3,110,((hyp:tok:girl AND pre:tok:tunnel) AND pre:tok:is),((hyp AND pre) AND pre),((hyp:tok AND pre:tok) AND pre:tok),1.0,3,-0.05829175,0.00046831323,-0.020443004
3,111,pre:tok:in,pre,pre:tok,0.0,1,0.0016251587,-0.027635096,-0.030513028
3,112,pre:tok:in,pre,pre:tok,0.0,1,0.009923251,0.010234154,0.030070646
3,113,((((hyp:tok:walking OR pre:tok:red) OR pre:tok:landscape) AND (NOT hyp:tok:in)) AND (NOT hyp:tok:with)),((((hyp OR pre) OR pre) AND (NOT hyp)) AND (NOT hyp)),((((hyp:tok OR pre:tok) OR pre:tok) AND (NOT hyp:tok)) AND (NOT hyp:tok)),0.09401709401709402,7,-0.1360994,0.13300905,-0.06694105
3,114,pre:tok:in,pre,pre:tok,0.0,1,-0.03331385,-0.014254827,0.008538997
3,115,(hyp:tok:lemons AND pre:tok:something),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.025477335,-0.048394438,-0.07235463
3,116,pre:tok:in,pre,pre:tok,0.0,1,-0.017637454,0.0016426755,-0.05439897
3,117,pre:tok:in,pre,pre:tok,0.0,1,-0.015599354,-0.0043594847,0.031266592
3,118,pre:tok:in,pre,pre:tok,0.0,1,-0.013045226,-0.028308477,0.027513092
3,119,(hyp:tok:lemons AND pre:tok:something),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.020751394,0.027719911,-0.023735322
3,120,pre:tok:in,pre,pre:tok,0.0,1,-0.014205514,-0.009820692,-0.028561337
3,121,pre:tok:in,pre,pre:tok,0.0,1,-0.012556307,-0.004710122,-0.02077138
3,122,pre:tok:in,pre,pre:tok,0.0,1,0.0104807215,0.013510392,-0.041562807
3,123,pre:tok:in,pre,pre:tok,0.0,1,-0.04467381,-0.01697592,-0.023792325
3,124,pre:tok:in,pre,pre:tok,0.0,1,0.005436926,0.022672644,0.0021183304
3,125,pre:tok:in,pre,pre:tok,0.0,1,0.011262718,-0.10328383,-0.04903577
3,126,pre:tok:in,pre,pre:tok,0.0,1,0.007641409,0.0072017685,0.0040696347
3,127,pre:tok:in,pre,pre:tok,0.0,1,0.008601519,-0.023871878,0.029000605
3,128,((((NOT oth:overlap:overlap50) AND (hyp:tok:eating OR hyp:tok:in)) OR hyp:tok:sleeping) OR hyp:tok:swimming),((((NOT oth) AND (hyp OR hyp)) OR hyp) OR hyp),((((NOT oth:overlap) AND (hyp:tok OR hyp:tok)) OR hyp:tok) OR hyp:tok),0.12472885032537961,6,-0.06505002,0.08681163,-0.024083463
3,129,(((((NOT pre:tok:in) AND hyp:tok:seated) OR hyp:tok:maroon) AND (NOT hyp:tok:people)) OR hyp:tok:outer),(((((NOT pre) AND hyp) OR hyp) AND (NOT hyp)) OR hyp),(((((NOT pre:tok) AND hyp:tok) OR hyp:tok) AND (NOT hyp:tok)) OR hyp:tok),0.2,7,-0.07272029,-0.008423779,0.063717015
3,130,(hyp:tok:lemons AND pre:tok:something),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,0.016359556,-0.0459731,-0.004803243
3,131,pre:tok:in,pre,pre:tok,0.0,1,-0.008187658,-0.003069799,-0.0018015172
3,132,((hyp:tok:girl AND pre:tok:tunnel) AND pre:tok:is),((hyp AND pre) AND pre),((hyp:tok AND pre:tok) AND pre:tok),1.0,3,-0.032379422,0.11232073,-0.06283612
3,133,((((hyp:tok:bed OR hyp:tok:inside) OR hyp:tok:tv) OR hyp:tok:indoors) OR hyp:tok:bedroom),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.16034985422740525,5,-0.0876697,-0.10838523,0.13739546
3,134,((((hyp:tok:black OR hyp:tok:playing) OR hyp:tok:blue) OR hyp:tok:eating) OR hyp:tok:alone),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.07757951900698215,5,-0.08765427,0.05117091,0.015570551
3,135,pre:tok:in,pre,pre:tok,0.0,1,0.0030202875,-0.014142611,0.0250807
3,136,pre:tok:in,pre,pre:tok,0.0,1,-0.03907579,0.003617632,-0.05956378
3,137,((((hyp:tok:hammer OR hyp:tok:whose) AND pre:tok:and) OR pre:tok:photographs) AND oth:overlap:overlap25),((((hyp OR hyp) AND pre) OR pre) AND oth),((((hyp:tok OR hyp:tok) AND pre:tok) OR pre:tok) AND oth:overlap),0.42857142857142855,5,-0.10456751,-0.07799541,0.06997223
3,138,((hyp:tok:girl AND pre:tok:tunnel) AND pre:tok:is),((hyp AND pre) AND pre),((hyp:tok AND pre:tok) AND pre:tok),1.0,3,-0.0056663803,-0.03728293,0.036637243
3,139,((((hyp:tok:jumping OR hyp:tok:swimming) OR hyp:tok:bathroom) OR hyp:tok:too) AND (NOT pre:tok:two)),((((hyp OR hyp) OR hyp) OR hyp) AND (NOT pre)),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)),0.09897610921501707,6,-0.026825763,-0.12402555,0.10569634
3,140,((((hyp:tok:swimming AND pre:tok:using) OR pre:tok:similarly) AND hyp:tok:is) OR hyp:tok:apron),((((hyp AND pre) OR pre) AND hyp) OR hyp),((((hyp:tok AND pre:tok) OR pre:tok) AND hyp:tok) OR hyp:tok),0.18181818181818182,5,-0.07196352,-0.039153304,0.086935
3,141,((hyp:tok:girl AND pre:tok:tunnel) AND pre:tok:is),((hyp AND pre) AND pre),((hyp:tok AND pre:tok) AND pre:tok),1.0,3,0.005810221,-0.026972951,-0.011278573
3,142,(hyp:tok:son AND pre:tok:purple),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,-0.054308873,-0.023255056,-0.19548342
3,143,pre:tok:in,pre,pre:tok,0.0,1,-0.008734531,0.037634708,0.022897309
3,144,pre:tok:in,pre,pre:tok,0.0,1,-0.0057619945,-0.021495854,-0.049787506
3,145,pre:tok:in,pre,pre:tok,0.0,1,-0.024638766,-0.0031922143,-0.00596339
3,146,pre:tok:in,pre,pre:tok,0.0,1,-0.024519496,-0.0051470543,0.04366446
3,147,pre:tok:in,pre,pre:tok,0.0,1,0.010566733,0.015339571,0.032468084
3,148,pre:tok:in,pre,pre:tok,0.0,1,-0.02957438,-0.020992396,-0.0046174335
3,149,pre:tok:in,pre,pre:tok,0.0,1,-0.020838039,0.016317807,0.0065414477
3,150,((hyp:tok:girl AND pre:tok:tunnel) AND pre:tok:is),((hyp AND pre) AND pre),((hyp:tok AND pre:tok) AND pre:tok),1.0,3,-0.17683345,0.041688483,0.05827848
3,151,((((hyp:tok:wearing AND pre:tok:hit) OR pre:tok:television) OR pre:tok:barn) OR hyp:tok:beneath),((((hyp AND pre) OR pre) OR pre) OR hyp),((((hyp:tok AND pre:tok) OR pre:tok) OR pre:tok) OR hyp:tok),0.15625,5,-0.08034587,-0.09067626,0.13080594
3,152,pre:tok:in,pre,pre:tok,0.0,1,0.010014768,0.0019077694,-0.014095967
3,153,((((hyp:tok:water AND pre:tok:dog) AND pre:tok:black) AND (NOT pre:tok:on)) AND (NOT pre:tok:walking)),((((hyp AND pre) AND pre) AND (NOT pre)) AND (NOT pre)),((((hyp:tok AND pre:tok) AND pre:tok) AND (NOT pre:tok)) AND (NOT pre:tok)),0.3181818181818182,7,0.14179158,-0.08042834,-0.14887743
3,154,pre:tok:in,pre,pre:tok,0.0,1,0.05640232,-0.030009817,-0.04099507
3,155,pre:tok:in,pre,pre:tok,0.0,1,-0.016818479,0.021958226,0.0063853175
3,156,pre:tok:in,pre,pre:tok,0.0,1,-0.095444225,0.047413245,-0.07520546
3,157,((((hyp:tok:carving OR hyp:tok:electric) OR hyp:tok:raises) OR hyp:tok:toothbrush) OR hyp:tok:snowshoes),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.14634146341463414,5,0.00199512,0.012567214,-0.04766135
3,158,pre:tok:in,pre,pre:tok,0.0,1,-0.0044874987,0.0547712,-0.03767643
3,159,pre:tok:in,pre,pre:tok,0.0,1,0.00021119398,0.010514237,-0.017077342
3,160,pre:tok:in,pre,pre:tok,0.0,1,0.016960602,0.04256296,-0.016251069
3,161,pre:tok:in,pre,pre:tok,0.0,1,0.005571336,-0.010668675,-0.02457532
3,162,pre:tok:in,pre,pre:tok,0.0,1,0.017939711,0.026868239,0.00055423524
