NOT hyp:tok:to,26,32,39,30,38,22
NOT hyp:tok:together,1,3,2,1,0,2
NOT hyp:tok:train,0,0,1,0,1,0
NOT hyp:tok:tree,0,0,1,0,0,0
NOT hyp:tok:trying,0,0,2,1,1,3
NOT hyp:tok:two,0,0,0,0,1,0
NOT hyp:tok:up,0,0,1,1,2,0
NOT hyp:tok:waiting,9,11,12,8,12,15
NOT hyp:tok:walk,0,1,0,1,1,0
NOT hyp:tok:walking,70,82,69,63,53,70
NOT hyp:tok:walks,3,8,1,1,2,3
NOT hyp:tok:was,2,1,1,0,3,0
NOT hyp:tok:watching,4,8,7,10,6,5
NOT hyp:tok:water,27,26,19,26,18,20
NOT hyp:tok:wearing,50,65,54,47,63,77
NOT hyp:tok:while,10,7,3,7,16,4
NOT hyp:tok:white,15,26,11,12,19,15
NOT hyp:tok:with,1,7,2,1,4,2
NOT hyp:tok:woman,18,19,19,11,24,13
NOT hyp:tok:women,14,19,14,11,23,12
NOT hyp:tok:work,1,0,0,2,1,1
NOT hyp:tok:workers,0,1,0,0,0,0
NOT hyp:tok:working,4,3,3,6,4,3
NOT hyp:tok:yellow,0,0,1,0,0,0
NOT hyp:tok:young,8,2,6,10,4,1
NOT oth:overlap:overlap50,35,36,18,16,22,17
NOT oth:overlap:overlap75,74,80,77,64,82,64
NOT pre:tag:'',0,0,0,2,1,1
NOT pre:tag::,3,0,3,0,2,4
NOT pre:tag:``,0,0,0,0,0,1
NOT pre:tag:ex,0,1,0,0,3,1
NOT pre:tag:jjr,4,6,3,3,5,1
NOT pre:tag:nnp,8,13,15,11,13,13
NOT pre:tag:pos,0,0,1,0,1,0
NOT pre:tag:rp,1,0,0,0,1,0
NOT pre:tag:to,0,0,0,1,0,0
NOT pre:tag:vb,12,6,5,11,2,7
NOT pre:tag:vbd,1,1,1,0,3,0
NOT pre:tag:wdt,4,0,1,1,2,1
NOT pre:tag:wp,2,2,2,1,1,1
NOT pre:tag:wrb,0,1,0,1,0,0
"NOT pre:tok:""",0,0,1,0,1,0
NOT pre:tok:'s,2,0,2,0,0,4
NOT pre:tok:-,1,3,1,1,3,1
NOT pre:tok:2,0,0,0,0,1,0
NOT pre:tok:3,0,0,1,0,0,0
NOT pre:tok:about,2,1,1,2,1,1
NOT pre:tok:across,0,0,1,0,1,1
