hyp:tok:indoors,7,18,11,7,18,9
hyp:tok:inside,17,40,39,38,48,39
hyp:tok:instrument,4,6,3,4,3,4
hyp:tok:into,1,0,0,1,0,0
hyp:tok:is,13,5,11,11,10,4
hyp:tok:jeans,0,0,0,1,0,0
hyp:tok:jumping,4,2,6,1,0,6
hyp:tok:jumps,6,1,0,2,0,2
hyp:tok:just,1,0,1,0,2,1
hyp:tok:kids,1,0,2,1,1,2
hyp:tok:lady,4,3,1,0,2,2
hyp:tok:lake,0,4,1,0,4,1
hyp:tok:large,0,2,1,1,0,1
hyp:tok:late,0,1,0,0,0,0
hyp:tok:laughing,0,0,0,0,0,1
hyp:tok:laying,1,3,4,5,6,9
hyp:tok:leash,0,1,0,0,0,0
hyp:tok:least,2,0,0,3,0,0
hyp:tok:light,1,6,2,3,2,0
hyp:tok:little,0,0,1,0,0,0
hyp:tok:local,0,0,1,0,1,0
hyp:tok:looking,2,2,0,1,0,2
hyp:tok:looks,0,0,0,1,0,0
hyp:tok:lunch,6,3,3,7,4,3
hyp:tok:making,0,0,0,1,3,1
hyp:tok:male,0,1,1,0,0,0
hyp:tok:man,26,23,29,23,34,33
hyp:tok:marathon,0,0,0,0,0,1
hyp:tok:market,1,1,2,0,2,0
hyp:tok:married,0,0,0,0,2,1
hyp:tok:men,15,17,13,6,18,18
hyp:tok:microphone,0,1,0,1,0,0
hyp:tok:moon,1,1,3,0,1,1
hyp:tok:mother,1,0,1,0,0,0
hyp:tok:motorcycle,1,0,0,0,0,0
hyp:tok:mountain,0,1,0,0,0,0
hyp:tok:moving,1,6,6,7,7,7
hyp:tok:mud,1,1,1,0,1,1
hyp:tok:multiple,0,1,0,1,0,1
hyp:tok:music,1,3,2,2,3,0
hyp:tok:n't,0,0,0,0,1,0
hyp:tok:naked,5,11,8,13,4,5
hyp:tok:nap,1,2,4,5,3,2
hyp:tok:near,6,10,2,5,4,8
hyp:tok:new,3,5,5,6,8,6
hyp:tok:next,0,0,0,1,0,0
hyp:tok:no,24,15,28,15,22,14
hyp:tok:nobody,42,40,44,48,39,33
hyp:tok:not,11,10,19,11,10,19
hyp:tok:nothing,0,1,0,0,1,0
hyp:tok:ocean,1,0,1,1,1,0
hyp:tok:off,3,1,2,0,0,0
hyp:tok:old,5,2,7,6,2,8
hyp:tok:olympics,0,0,0,1,0,0
hyp:tok:on,2,1,4,0,1,1
hyp:tok:one,0,1,0,0,0,0
hyp:tok:only,0,0,0,1,1,1
hyp:tok:other,0,0,0,0,1,0
hyp:tok:outdoors,89,75,82,93,73,70
hyp:tok:outside,102,88,101,104,85,87
hyp:tok:painting,0,1,2,1,2,4
hyp:tok:paper,1,2,0,0,0,0
hyp:tok:parade,0,0,1,1,0,0
hyp:tok:park,35,19,17,22,10,14
hyp:tok:party,11,10,10,8,8,11
hyp:tok:people,17,18,8,21,26,22
hyp:tok:performer,0,0,0,1,1,0
hyp:tok:performing,9,6,7,4,3,8
hyp:tok:person,13,14,13,15,13,19
hyp:tok:phone,3,1,4,10,4,5
hyp:tok:piano,0,0,0,1,0,0
hyp:tok:picture,5,1,2,3,5,2
hyp:tok:pie,0,0,1,0,0,0
hyp:tok:pink,1,0,0,0,0,0
hyp:tok:play,5,3,1,0,0,0
hyp:tok:player,0,1,1,0,0,0
hyp:tok:playing,48,39,42,46,33,48
hyp:tok:plays,2,0,0,0,0,0
hyp:tok:police,0,0,0,0,1,2
hyp:tok:pool,3,0,2,2,0,1
hyp:tok:practicing,1,0,1,0,1,1
hyp:tok:preparing,1,0,0,0,0,1
hyp:tok:present,0,1,0,0,0,0
hyp:tok:professional,3,5,6,3,0,1
hyp:tok:puppy,0,0,0,0,1,1
hyp:tok:race,10,6,12,10,4,7
hyp:tok:racing,3,0,1,5,3,7
hyp:tok:rain,4,5,14,5,2,5
hyp:tok:reading,0,0,1,1,2,0
hyp:tok:reads,0,0,1,0,0,0
hyp:tok:ready,0,0,0,0,1,1
hyp:tok:red,13,14,16,13,13,11
hyp:tok:restaurant,0,0,2,1,1,3
hyp:tok:rides,1,0,0,0,0,0
hyp:tok:riding,14,13,18,19,11,19
hyp:tok:rock,1,0,0,0,0,0
hyp:tok:room,0,0,0,1,1,0
hyp:tok:running,35,34,28,33,28,30
hyp:tok:runs,2,1,0,1,2,1
hyp:tok:sad,10,13,20,13,11,13
hyp:tok:sand,1,0,0,0,0,0
hyp:tok:school,4,3,7,5,6,3
hyp:tok:selling,5,0,2,2,1,0
hyp:tok:she,0,0,0,2,0,0
hyp:tok:shirt,2,8,4,6,7,14
hyp:tok:shopping,0,0,1,1,3,1
hyp:tok:show,0,0,1,0,1,0
hyp:tok:sidewalk,0,1,5,4,2,0
hyp:tok:singing,1,1,2,2,1,1
hyp:tok:sisters,0,0,0,0,0,1
hyp:tok:sit,0,0,0,1,0,0
hyp:tok:sits,8,5,6,4,4,9
hyp:tok:sitting,35,37,34,45,36,37
hyp:tok:skateboard,2,1,0,1,0,0
hyp:tok:sleep,0,0,1,1,1,0
hyp:tok:sleeping,52,42,54,59,44,47
hyp:tok:sleeps,2,2,1,2,3,5
hyp:tok:smiling,12,13,16,12,5,9
hyp:tok:smoking,0,1,0,0,1,0
hyp:tok:snow,9,5,4,5,3,2
hyp:tok:snowboarder,0,0,1,0,1,0
hyp:tok:soccer,11,4,10,7,8,10
hyp:tok:someone,0,2,4,5,1,1
hyp:tok:something,13,21,15,18,20,25
hyp:tok:son,2,0,2,0,0,0
hyp:tok:song,1,0,0,0,0,0
hyp:tok:sport,0,1,1,1,0,0
hyp:tok:stage,2,1,1,3,1,2
hyp:tok:stairs,0,0,1,0,0,0
hyp:tok:stand,1,0,2,1,1,2
hyp:tok:standing,34,24,24,29,20,35
hyp:tok:stands,1,1,0,1,1,3
hyp:tok:stick,0,0,0,0,0,1
hyp:tok:store,1,0,5,3,0,2
hyp:tok:street,3,9,12,10,4,7
hyp:tok:summer,1,0,0,0,0,1
hyp:tok:sun,0,0,0,0,0,1
hyp:tok:sunny,2,0,2,2,1,0
hyp:tok:surfing,0,0,0,0,1,0
hyp:tok:swimming,33,25,25,40,15,32
hyp:tok:table,0,0,0,1,0,0
hyp:tok:tag,0,0,0,1,0,0
hyp:tok:taken,0,0,0,0,0,1
hyp:tok:takes,0,0,0,0,0,1
hyp:tok:taking,1,1,1,0,1,0
hyp:tok:talking,7,7,4,5,6,4
hyp:tok:tall,66,53,64,66,40,78
hyp:tok:tank,0,0,1,0,0,0
hyp:tok:television,0,0,2,1,0,1
hyp:tok:tennis,0,0,0,1,1,1
hyp:tok:than,1,2,0,0,0,0
hyp:tok:their,1,2,0,0,4,3
hyp:tok:there,32,26,29,28,25,38
hyp:tok:they,2,2,6,2,5,8
hyp:tok:this,0,0,0,0,1,0
hyp:tok:three,0,0,1,0,1,0
hyp:tok:through,0,0,1,0,0,0
hyp:tok:throw,0,1,0,0,0,0
hyp:tok:throwing,0,0,0,0,1,2
hyp:tok:tired,3,3,1,0,2,3
hyp:tok:to,24,25,36,34,31,22
hyp:tok:together,1,1,1,0,0,0
hyp:tok:touching,1,0,3,0,0,1
hyp:tok:toy,0,0,0,1,0,0
hyp:tok:train,2,2,1,3,1,1
hyp:tok:trick,0,0,0,1,0,0
hyp:tok:tricks,5,1,2,1,2,2
hyp:tok:trip,2,0,0,0,0,0
hyp:tok:trying,1,0,0,0,2,2
hyp:tok:tv,3,5,4,4,7,5
hyp:tok:uniform,0,0,0,1,0,0
hyp:tok:up,0,0,1,0,0,0
hyp:tok:vacation,2,4,3,3,3,1
hyp:tok:vehicle,1,0,0,0,0,0
hyp:tok:very,0,0,1,0,0,2
hyp:tok:volleyball,1,0,0,0,0,0
hyp:tok:wait,0,0,0,0,0,2
hyp:tok:waiting,12,12,13,7,11,18
hyp:tok:walk,3,3,1,1,0,0
hyp:tok:walking,37,31,35,35,37,46
hyp:tok:walks,5,6,4,10,7,18
hyp:tok:watch,0,0,1,0,0,0
hyp:tok:watching,4,5,7,8,8,13
hyp:tok:water,3,15,9,10,10,9
hyp:tok:waterfall,1,0,0,0,0,0
hyp:tok:wearing,19,26,40,41,61,60
hyp:tok:wedding,1,0,0,0,0,2
hyp:tok:wet,9,7,8,5,7,9
hyp:tok:while,0,2,0,1,0,2
hyp:tok:white,5,4,9,8,15,7
hyp:tok:wife,0,0,0,1,1,2
hyp:tok:win,0,1,0,0,0,0
hyp:tok:winning,2,4,1,2,2,3
hyp:tok:with,0,0,1,0,1,0
hyp:tok:without,0,0,0,3,0,0
hyp:tok:woman,29,27,17,23,20,24
hyp:tok:women,15,20,10,12,20,16
hyp:tok:work,4,3,1,1,0,0
hyp:tok:workers,0,1,3,0,1,0
hyp:tok:working,7,12,6,11,13,11
hyp:tok:years,0,0,5,5,0,1
hyp:tok:yellow,0,1,2,0,0,0
hyp:tok:young,2,4,6,7,1,1
oth:overlap:overlap25,13,17,16,11,13,12
oth:overlap:overlap50,21,27,17,21,22,26
oth:overlap:overlap75,32,29,36,29,33,32
"pre:tag:,",0,0,0,0,3,0
pre:tag:.,2,2,6,2,1,6
pre:tag:cc,0,1,1,0,1,1
pre:tag:cd,0,0,1,1,1,1
pre:tag:dt,3,6,3,4,1,3
pre:tag:in,5,4,3,5,10,7
pre:tag:jj,26,26,26,20,27,18
pre:tag:jjr,1,1,0,1,1,2
pre:tag:nn,5,4,1,5,4,10
pre:tag:nnp,6,3,10,8,7,11
pre:tag:nnps,0,0,0,0,1,0
pre:tag:nns,1,3,0,0,0,0
pre:tag:prp,0,0,0,1,0,0
pre:tag:prp$,2,5,3,5,6,0
pre:tag:rb,0,0,1,0,0,2
pre:tag:to,1,0,0,0,0,1
pre:tag:vb,7,9,8,10,6,12
pre:tag:vbg,2,0,2,3,0,1
pre:tag:vbn,0,1,0,0,0,0
pre:tag:vbp,0,1,0,0,1,0
pre:tag:vbz,0,0,0,1,0,0
pre:tag:wdt,0,0,0,0,0,1
pre:tag:wp,0,0,0,0,1,0
pre:tok:-,0,0,1,0,0,0
pre:tok:2,0,0,0,1,0,0
pre:tok:3,0,1,0,0,0,0
pre:tok:about,2,0,3,6,1,2
pre:tok:african,0,0,1,0,0,0
pre:tok:after,0,0,0,0,0,1
pre:tok:against,0,0,0,1,0,0
pre:tok:air,3,1,5,5,1,3
pre:tok:alone,0,0,0,0,1,0
pre:tok:american,1,0,0,0,0,0
pre:tok:amusement,0,0,0,2,0,0
pre:tok:and,1,1,2,1,2,1
pre:tok:apron,0,0,1,0,1,0
pre:tok:arts,0,0,0,0,1,1
pre:tok:as,1,0,0,0,0,0
pre:tok:asian,3,3,0,3,3,2
pre:tok:at,2,3,8,3,5,4
pre:tok:audience,1,0,1,0,0,0
pre:tok:baby,2,1,0,1,4,2
pre:tok:bag,0,0,0,1,0,0
pre:tok:bags,0,1,0,0,0,0
pre:tok:ball,10,14,14,15,6,10
pre:tok:ballet,0,1,0,0,0,0
pre:tok:band,3,4,4,2,6,8
pre:tok:base,0,0,0,1,0,0
pre:tok:baseball,6,11,14,11,13,1
pre:tok:basketball,6,7,5,5,5,3
pre:tok:bathing,0,0,1,1,0,0
pre:tok:bathroom,0,0,1,0,0,0
pre:tok:beach,16,10,16,22,9,9
pre:tok:beautiful,1,0,0,0,0,0
pre:tok:bed,2,2,3,3,5,3
pre:tok:beer,0,1,0,0,0,0
pre:tok:bench,6,5,1,1,3,4
pre:tok:bicycle,3,3,3,2,3,1
pre:tok:bike,4,5,7,9,2,2
pre:tok:biker,0,0,1,1,0,0
pre:tok:bikes,0,0,0,0,1,0
pre:tok:biking,0,0,1,0,0,0
pre:tok:bikini,0,0,1,1,0,0
pre:tok:black,10,12,7,14,12,8
pre:tok:blond,8,2,2,6,9,1
