,lost_concepts
106,pre:tok:clown
107,pre:tok:bat
108,pre:tok:movie
109,pre:tok:back
110,hyp:tok:soap
111,pre:tok:shoveling
112,pre:tok:photographer
113,pre:tok:attached
114,hyp:tok:court
115,hyp:tok:sandals
116,hyp:tok:helps
117,hyp:tok:plastic
118,pre:tok:next
119,pre:tok:checks
120,hyp:tok:lamp
121,hyp:tok:coffee
122,hyp:tok:sport
123,hyp:tok:amusement
124,pre:tok:by
125,pre:tok:daughter
126,pre:tok:multiple
127,pre:tok:least
128,hyp:tok:science
129,pre:tok:colorful
130,pre:tok:crafts
131,pre:tok:painted
132,pre:tok:backpacks
133,hyp:tok:machine
134,pre:tok:skate
135,hyp:tok:spray
136,hyp:tok:gather
137,hyp:tok:wood
138,hyp:tok:happening
139,hyp:tok:boys
140,hyp:tok:too
141,pre:tok:us
142,hyp:tok:grill
143,pre:tok:activity
144,hyp:tok:marathon
145,pre:tok:bathing
146,pre:tok:laughing
147,hyp:tok:shoot
148,hyp:tok:draped
149,pre:tok:struggling
150,pre:tok:turns
151,pre:tok:old
152,hyp:tok:muddy
153,hyp:tok:bread
154,pre:tok:jogging
155,pre:tok:leans
156,hyp:tok:project
157,pre:tok:some
158,hyp:tok:enjoy
159,pre:tok:t
160,pre:tok:biker
161,pre:tok:yellow
162,hyp:tok:photographing
163,pre:tok:everywhere
164,pre:tok:masks
165,pre:tok:owner
166,pre:tok:glass
167,hyp:tok:legs
168,pre:tok:walked
169,pre:tok:hanging
170,hyp:tok:apartment
171,hyp:tok:green
172,hyp:tok:diner
173,hyp:tok:tired
174,pre:tok:skiing
175,pre:tok:cameras
176,hyp:tok:getting
177,hyp:tok:women
178,hyp:tok:groom
179,pre:tok:wares
180,hyp:tok:pick
181,hyp:tok:house
182,hyp:tok:rocky
183,pre:tok:birthday
184,pre:tok:picker
185,hyp:tok:exercising
186,pre:tok:giant
187,pre:tok:play
188,pre:tok:lady
189,pre:tok:nutcracker
190,pre:tok:passed
191,pre:tok:dressed
192,hyp:tok:costumes
193,hyp:tok:compete
194,pre:tok:through
195,hyp:tok:writing
196,pre:tok:china
197,hyp:tok:trip
198,pre:tok:waiting
199,pre:tok:food
200,hyp:tok:appears
201,hyp:tok:snowboarder
202,pre:tok:swimsuit
203,hyp:tok:lap
204,hyp:tok:6
205,hyp:tok:-
206,pre:tok:splashes
207,pre:tok:little
208,pre:tok:skateboard
209,hyp:tok:well
210,pre:tok:studio
211,pre:tok:running
212,hyp:tok:dock
213,hyp:tok:wrestlers
214,pre:tok:swims
215,hyp:tok:gathered
216,hyp:tok:saw
217,hyp:tok:preparing
218,hyp:tok:dance
219,hyp:tok:surfing
220,pre:tok:driving
221,pre:tok:images
222,pre:tok:kayak
223,pre:tok:army
224,pre:tok:bicycle
225,hyp:tok:packages
226,pre:tok:chopping
227,pre:tok:book
228,pre:tok:dead
229,pre:tok:thinking
230,hyp:tok:bin
231,hyp:tok:creating
232,hyp:tok:carrot
233,hyp:tok:seven
234,hyp:tok:parked
235,hyp:tok:ramp
236,hyp:tok:passed
237,pre:tok:rowboat
238,pre:tok:shoot
239,hyp:tok:protecting
240,pre:tok:bicycles
241,hyp:tok:skater
242,hyp:tok:tables
243,hyp:tok:snowshoes
244,hyp:tok:stuck
245,pre:tok:tent
246,hyp:tok:within
247,pre:tok:hydrant
248,hyp:tok:computer
249,pre:tok:arm
250,hyp:tok:chat
251,hyp:tok:church
252,hyp:tok:bamboo
253,pre:tok:training
254,hyp:tok:push
255,hyp:tok:look
256,hyp:tok:officers
257,pre:tok:wild
258,hyp:tok:bottles
259,hyp:tok:tunnel
260,hyp:tok:fish
261,hyp:tok:daughter
262,hyp:tok:though
263,pre:tok:forehead
264,pre:tok:prepare
265,hyp:tok:directing
266,hyp:tok:rack
267,pre:tok:attempting
268,hyp:tok:plane
269,pre:tok:background
270,pre:tok:women
271,hyp:tok:case
272,hyp:tok:referee
273,hyp:tok:image
274,pre:tok:pose
275,hyp:tok:festival
276,hyp:tok:filled
277,hyp:tok:jumping
278,hyp:tok:cats
279,hyp:tok:band
280,hyp:tok:upright
281,hyp:tok:fisherman
282,hyp:tok:down
283,pre:tok:mcdonald
284,hyp:tok:soccer
285,hyp:tok:holding
286,pre:tok:bearded
287,hyp:tok:eats
288,hyp:tok:arms
289,hyp:tok:competing
290,pre:tok:form
291,pre:tok:terrain
292,pre:tok:camera
293,pre:tok:vacation
294,hyp:tok:dinner
295,hyp:tok:above
296,hyp:tok:middle
297,hyp:tok:surf
298,hyp:tok:sidewalk
299,pre:tok:weather
300,pre:tok:clear
301,pre:tok:guitars
302,pre:tok:night
303,hyp:tok:trunks
304,pre:tok:fight
305,pre:tok:lane
306,pre:tok:musician
307,pre:tok:microphone
308,pre:tok:lap
309,hyp:tok:crying
310,pre:tok:raining
311,pre:tok:candy
312,hyp:tok:written
313,pre:tok:washes
314,pre:tok:rock
315,hyp:tok:dishes
316,pre:tok:snowman
317,hyp:tok:ledge
318,hyp:tok:pretending
319,pre:tok:chairs
320,pre:tok:pipe
321,hyp:tok:shirt
322,hyp:tok:eight
323,hyp:tok:sweater
324,pre:tok:living
325,pre:tok:studying
326,hyp:tok:religious
327,hyp:tok:toothbrush
328,hyp:tok:bent
329,hyp:tok:nothing
330,hyp:tok:truck
331,pre:tok:cute
332,hyp:tok:photographers
333,hyp:tok:instruments
334,hyp:tok:art
335,hyp:tok:pig
336,pre:tok:into
337,pre:tok:father
338,pre:tok:tattoos
339,hyp:tok:bridal
340,hyp:tok:repair
341,hyp:tok:wrapped
